track_id,album_art_url
2BF5SlaZRL0sYUDBgwjmbo,https://i.scdn.co/image/ab67616d0000b273c02786b32a53a659497c52e4
2BcLdx9G6GF32IWlvb1UGa,https://i.scdn.co/image/ab67616d0000b2739387dbc2b28a455d6995d1ff
2Do96Wm75pSsMBm8lmIhQg,https://i.scdn.co/image/ab67616d0000b27323a85e395f51635f988eb4f2
2G2CWFXYakUgdQyweO4MKv,https://i.scdn.co/image/ab67616d0000b2737821da7f2e60ff26fcdf4536
2I5Vq5yS1xuh9lk0mZ2oMS,https://i.scdn.co/image/ab67616d0000b2736311757cf8eb2767ad9e4bf4
2MkMN3nFkYzdXlYrhAS0GJ,https://i.scdn.co/image/ab67616d0000b273b052c627edb18d6f16f26b15
2PSSi1isCZITVBIEwL420B,https://i.scdn.co/image/ab67616d0000b2737371b406e81e2f2b863d0238
2SJMPPj5nNlizdz58AgzL6,https://i.scdn.co/image/ab67616d0000b2735bde259524ed7929bf3b6f02
2TXdgzpGp97Wrb23ue9rVk,https://i.scdn.co/image/ab67616d0000b273f27ee17e024db307a07df629
2ULwBLyVAflWmyTcSWdetF,https://i.scdn.co/image/ab67616d0000b273154012bf752e4b02f3f8a427
2WsyzikcaMllNx3HCbHnl1,https://i.scdn.co/image/ab67616d0000b2731174dbc42d6511e7b39b8b0d
2WwJlG8fczrLwRAxsnXRl7,https://i.scdn.co/image/ab67616d0000b2734ab771a97ee9eaa8af297656
2Y1TGD05ZJoTihQuZfZJEZ,https://i.scdn.co/image/ab67616d0000b273971560dc2351de9304dff071
2YeFJwywiUPeQiUtEeGPyQ,https://i.scdn.co/image/ab67616d0000b273050b78596a964b770a2c77be
2aN00IOtoPDWAsTzWeGT21,https://i.scdn.co/image/ab67616d0000b27348f1ddea95748db96732dd6a
2blJzY8Ohl2E2vEdQ2wlEn,https://i.scdn.co/image/ab67616d0000b2730a81fae88b5e17bfaebf583e
2e3v5wfUN8UB4jB41eDr4k,https://i.scdn.co/image/ab67616d0000b273d27592f860a8fb6627653eec
2eBvh4fOjch2HK8NVYYWRP,https://i.scdn.co/image/ab67616d0000b2734c64fc0673e87470ef7ac063
2hQlHB5r3uNFlyJYWABUk7,https://i.scdn.co/image/ab67616d0000b2734bc3b79d97a219a612815167
